Cuvant	Derivat	Diminutiv	Comentariu	Sursa	Sufix
mărțișor	1	1		marț	ișor
mărțișor		1		marț	ișor
mătăsică		1		mătase	ică
măturică		1		mătură	ică
mătușică		1		mătușă	ică
mățișor	1	1		maț	ișor
mânaș	A	0		a mâna	aș
mâncărică		1		mâncare	ică
mândrișoară		1		mândru	ișoară
mândrișor	1	1		mândru	ișor
mândrișor		1		mândru	ișor
mândrulică		1		mândru	ulică
mândruliță		1		mândru	uliță
mândruț		1		mândru	uț
mânzișor	1	1		mânz	ișor
mânzișor		1		mânz	ișor
mânzuleț		1		mânz	uleț
mâțișor	1	1		mâț	ișor
mecanotehnică		0		mecanotehnic	ică
medalistică		0		medalist	ică
medievistică		0		medievist	ică
meișor	1	1		mei	ișor
melcișor	1	1		melc	ișor
melcișor		1		melc	ișor
melenaș	1	1		melean	aș
